Time,553,549,561,EB0,E95,EA2,E94,E8D,hour,date,day,zthour
2025-01-14 16:00:00,3.03,0.151,0.0412,4.69,2.42,3.91,0.0244,3.05,16,2025-01-14,10,0
2025-01-14 17:00:00,0.514,0.476,0.0244,4.35,5.98,0.0244,3.87,0.203,17,2025-01-14,10,1
2025-01-14 18:00:00,7.75,19.8,15.0,15.6,12.4,7.67,30.4,19.1,18,2025-01-14,10,2
2025-01-14 19:00:00,18.2,15.4,4.9,37.5,41.6,23.0,18.6,15.2,19,2025-01-14,10,3
2025-01-14 20:00:00,4.19,23.5,17.6,33.2,26.5,21.4,25.2,36.9,20,2025-01-14,10,4
2025-01-14 21:00:00,7.18,9.4,6.56,19.6,21.1,15.6,28.7,15.9,21,2025-01-14,10,5
2025-01-14 22:00:00,20.8,13.0,20.1,24.4,33.2,5.03,8.67,44.1,22,2025-01-14,10,6
2025-01-14 23:00:00,38.9,9.05,39.3,43.9,11.4,20.2,36.0,35.4,23,2025-01-14,10,7
2025-01-15 00:00:00,4.03,23.4,28.6,54.3,51.2,29.0,33.8,18.5,0,2025-01-15,10,8
2025-01-15 01:00:00,20.6,5.65,3.02,61.6,31.0,1.93,22.4,0.771,1,2025-01-15,10,9
2025-01-15 02:00:00,22.7,7.43,12.5,33.7,23.7,6.75,3.34,25.6,2,2025-01-15,10,10
2025-01-15 03:00:00,2.67,8.94,4.58,0.937,21.8,3.81,0.0244,19.4,3,2025-01-15,10,11
2025-01-15 04:00:00,18.9,19.4,34.8,44.1,18.6,32.2,10.6,42.2,4,2025-01-15,10,12
2025-01-15 05:00:00,33.7,35.1,21.2,54.9,49.3,47.8,46.5,54.9,5,2025-01-15,10,13
2025-01-15 06:00:00,9.51,16.5,2.65,39.3,9.28,33.8,29.7,28.4,6,2025-01-15,10,14
2025-01-15 07:00:00,0.255,0.0244,0.613,0.824,13.7,0.112,7.14,0.86,7,2025-01-15,10,15
2025-01-15 08:00:00,0.233,0.598,0.0676,27.9,1.52,0.0244,7.19,0.0737,8,2025-01-15,10,16
2025-01-15 09:00:00,0.783,0.751,10.1,0.235,1.08,0.0244,10.4,0.31,9,2025-01-15,10,17
2025-01-15 10:00:00,3.62,3.43,0.0418,3.29,21.8,0.0244,0.0244,5.44,10,2025-01-15,10,18
2025-01-15 11:00:00,5.37,1.8,0.61,33.6,21.5,7.4,15.8,14.3,11,2025-01-15,10,19
2025-01-15 12:00:00,3.59,2.38,8.3,31.6,1.57,0.117,6.01,4.81,12,2025-01-15,10,20
2025-01-15 13:00:00,0.997,0.8,1.45,11.0,0.869,0.0615,0.68,1.34,13,2025-01-15,10,21
2025-01-15 14:00:00,2.16,1.4,0.544,10.5,10.6,12.6,5.68,0.157,14,2025-01-15,10,22
